"pcor","node1","node2","pval","qval","prob"
0.214644110367938,8,11,0.000729430420298938,0.0467680378174243,0.953231962182576
0.211043463946475,8,12,0.000899278578654572,0.0467680378174242,0.893258756066688
-0.183251830117908,1,11,0.00404174308363925,0.0830463736758142,0.893258756066688
0.182474554682317,11,12,0.00420337256873426,0.0837613446644158,0.893258756066688
0.181085783704895,6,20,0.00450672563129517,0.0849929916315665,0.893258756066688
0.17805352081914,7,14,0.00523858084780082,0.087483156309109,0.893258756066688
-0.166726992594616,8,18,0.00900771608104067,0.0946268408974573,0.893258756066688
0.163333868403189,8,14,0.0105313932930704,0.0962065663439413,0.893258756066688
0.159341063413839,3,18,0.0126126080268989,0.0977992760319081,0.893258756066688
-0.157776525051234,1,12,0.0135219578082113,0.0983533675107799,0.893258756066688
0.156274979383418,4,13,0.0144483282549179,0.0988514138368163,0.893258756066688
-0.156103328296765,11,20,0.014557690910157,0.0989063345351032,0.893258756066688
0.154686817243357,5,17,0.0154882121834501,0.0993444315203471,0.893258756066688
0.151434788137327,2,17,0.0178235595574097,0.100254709793839,0.893258756066688
0.150710800655721,16,20,0.0183833612661566,0.100440575359688,0.893258756066688
0.148893155760261,2,16,0.0198566725608575,0.100882408065132,0.893258756066688
0.146238768806733,7,8,0.0221918659963158,0.101468464176109,0.893258756066688
-0.145312892742314,1,8,0.023060455548664,0.10165760879076,0.893258756066688
-0.145076928112051,3,10,0.0232864566805642,0.101704618762893,0.893258756066688
0.143943615668761,6,18,0.0243987368454803,0.101923863966474,0.893258756066688
0.143243867310808,4,15,0.0251081051953679,0.102053990692321,0.893258756066688
0.143112810102775,2,5,0.0252429186265477,0.102077930001177,0.893258756066688
-0.142745860506536,5,19,0.0256237023431352,0.102144245155459,0.893258756066688
0.14067880000537,1,15,0.0278622090784251,0.102498898603025,0.893258756066688
-0.140414431240167,17,19,0.0281602477043612,0.102542031810879,0.893258756066688
-0.140350336345272,14,18,0.0282329155545686,0.102552415891057,0.893258756066688
0.14027418769729,13,15,0.0283194580658324,0.102564715825841,0.893258756066688
-0.139142899592332,10,18,0.0296321578118115,0.102742804659234,0.893258756066688
0.138844498883089,4,20,0.0299869556973693,0.102788361209693,0.893258756066688
-0.138242843495661,7,18,0.0307133679146667,0.102878468900434,0.893258756066688
0.138146097640244,4,16,0.0308315649000979,0.102892743460578,0.893258756066688
0.137455695648117,6,17,0.0316863669218415,0.102992918551069,0.827820275202447
0.136162627702445,5,6,0.0333417446692845,0.105089488437326,0.812486562916069
0.133771669076083,2,12,0.0365966614426063,0.109365099521604,0.812486562916069
0.13293005630772,13,16,0.0378046520079907,0.110841168808209,0.812486562916069
-0.132287047540119,3,7,0.0387501440286215,0.111958150824543,0.798370156677108
-0.130556659359249,11,15,0.0413942044438784,0.115231587417341,0.798370156677108
-0.128417703255871,3,14,0.0448708687296984,0.11918874823385,0.798370156677108
0.127995445723293,12,14,0.0455853663140084,0.119957509860381,0.798370156677108
